query text,query description,url,docID,rank,rankScore
"best lasagna recipe how to make","I want to make delicious lasagna","http://www.baidu.com/link?url=l-BtL7VGaajg3VfCtGqjfoW_xzdkoQ7nXOWiz2YO0JhwYQmclDu1d84OythTnyJUoEJ1SXInod6p0eB3fk7f2M7VkyFKYzaSBcrtZI3kKRx9EdPZKb4-mXsul0JfiIUy","1","13","15.822"
"best lasagna recipe how to make","I want to make delicious lasagna","http://www.baidu.com/link?url=5ODR1SDPkxdPQvyM1TnYJ2zeSAKOUiNfv8myTXddIRTKvDoj0srvXKTeg1xePu9vy4HWDsLlNcq2IQjpBRL9ra","2","2","23.199"
"best lasagna recipe how to make","I want to make delicious lasagna","http://www.baidu.com/link?url=rFirFVwrgOxVaMJjwEQ9AxeGQaVxXgLdQjPNckBlo_TfZTFcJ78T96M4tG03p6CPXGgmGVIlSlp872kfjJMDB3O6kj_voKPEx4ZxUE_SRdqOygvT5Ixl12_OLvcyO63a","3","4","18.822"
"best lasagna recipe how to make","I want to make delicious lasagna","http://www.baidu.com/link?url=Gl1G-Z0GAMongzFxhABaTI-2BhlcR4JTa7Z1FtOXQtczT-Gws6AsZ6160_B7PQH27yAbXtu_853Nz2sHJ29SIqvneAKUbJj9WLj9IA-EnQZb5xbxAz5-r1PiONtsvnhM","4","17","12.800"
"best lasagna recipe how to make","I want to make delicious lasagna","http://www.baidu.com/link?url=B4sLxcek5Fjop8P-LWmhrnvesaqTDNRJfMLMvsQ_k1ecLPg0V5elOHHWLXu10B9Us9Qdo291HfMUyVruqGxdVaoTK-MB4AAdC3HurV0hcvm","5","1","23.695"
"best lasagna recipe how to make","I want to make delicious lasagna","http://www.baidu.com/link?url=s7KLta8tWdr-zOidVf-iBuRQYMkaU1Lw5flUbU87sC_iNXN07D5QZ6Fhr6EobncJB7HLID9NUCxajmT7i8LX0Rk68VGWraCJxoxBmNiI-ColQcVYMsijhTo9xK_FEHZV","6","16","13.464"
"best lasagna recipe how to make","I want to make delicious lasagna","http://www.baidu.com/link?url=y0H4iENze7RHpW0n3Y5swzke-JJrvttylqzoTcpF6yiU1zBn-XEouFSHTiuTj0FhklCT0vdcesxACfQa0M3h9DYnc2nBoXszItd6F2_Ibqe","7","11","15.847"
"best lasagna recipe how to make","I want to make delicious lasagna","http://www.baidu.com/link?url=KxkjvNGd6JUhf_wJCUIZWx05rPTJ_UGdegbggHJe0NRb1JWEhvxwdUoPxNeJUsD4qL2i6tZexitMo0uz4moURPvpckuwNxBK9zyJzKbEDR_","8","6","18.034"
"best lasagna recipe how to make","I want to make delicious lasagna","http://www.baidu.com/link?url=UeVJOlh0ZWmwBC4iEPOsQV4bDtB8DjbCgarVJHrKtyUsnunQLrfS5SxZq53wh4c90D8qhLECzyb-Dezq3d6nda","9","10","16.955"
"best lasagna recipe how to make","I want to make delicious lasagna","http://www.baidu.com/link?url=jTlXyI4fcY_XmZW901qGZOzlSGUfm4hA6416Fjp4MQFYs08TMSU6V-HZwaNNXHEKwc9aB2p6-BDLRKJkgB-sva","10","8","17.534"
"best lasagna recipe how to make","I want to make delicious lasagna","https://www.allrecipes.com/article/5-pro-tips-making-best-lasagna/#:~:text=%20How%20to%20Make%20the%20Best%20Lasagna%20,F%20for%20an%20hour%29%2C%20then%20remove...%20More%20","11","14","15.154"
"best lasagna recipe how to make","I want to make delicious lasagna","https://www.allrecipes.com/article/5-pro-tips-making-best-lasagna/","12","15","15.154"
"best lasagna recipe how to make","I want to make delicious lasagna","https://www.tasteofhome.com/collection/how-to-make-the-best-lasagna-recipe-ever/","13","9","17.033"
"best lasagna recipe how to make","I want to make delicious lasagna","https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/","14","12","15.847"
"best lasagna recipe how to make","I want to make delicious lasagna","https://thestayathomechef.com/amazing-lasagna-recipe/","15","5","18.531"
"best lasagna recipe how to make","I want to make delicious lasagna","https://www.lacucinaitaliana.com/italian-food/italian-dishes/lasagna-the-original-recipe","16","3","21.519"
"best lasagna recipe how to make","I want to make delicious lasagna","https://www.delish.com/cooking/recipe-ideas/recipes/a51337/classic-lasagna-recipe/","17","7","17.617"
"best lasagna recipe how to make","I want to make delicious lasagna","https://www.bbcgoodfood.com/recipes/classic-lasagne-0","18","18","6.431"
"best lasagna recipe how to make","I want to make delicious lasagna","https://www.bbc.co.uk/food/recipes/lasagne_22392","19","20","4.925"
"best lasagna recipe how to make","I want to make delicious lasagna","https://www.bbcgoodfood.com/recipes/easiest-ever-lasagne","20","19","5.269"
