query text,query description,url,docID,rank,rankScore
"benefits of running regularly","Want to know the benefits of running regularly","https://veganwithkent.com/mental-health-benefits-of-running/#:~:text=12%20Physical%20%26%20Mental%20Health%20Benefits%20of%20Running,Right%20Fuel%20for%20Runners.%20...%204%20Conclusion.%20","1","3","8.177"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.betterhealth.vic.gov.au/health/healthyliving/running-and-jogging-health-benefits","2","20","2.933"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.healthline.com/health/fitness-exercise/running-everyday","3","10","5.722"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.organicfacts.net/running.html","4","6","6.084"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.betterhealth.vic.gov.au/health/healthyliving/running-and-jogging-health-benefits","5","17","2.936"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.openfit.com/benefits-of-running","6","13","5.281"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.healthline.com/health/fitness-exercise/running-everyday","7","12","5.646"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.menshealth.com/health/a26522316/benefits-of-running/","8","1","8.269"
"benefits of running regularly","Want to know the benefits of running regularly","https://veganwithkent.com/mental-health-benefits-of-running/","9","5","8.177"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.betterhealth.vic.gov.au/health/healthyliving/running-and-jogging-health-benefits","10","18","2.936"
"benefits of running regularly","Want to know the benefits of running regularly","http://www.sogou.com/link?url=hedJjaC291NFLWJnp_cefJeVxhuqKXN0Yg_DuxRAjwR7myJmmEhup3nTYklhlxdy&query=benefits+of+running+regularly","11","14","5.281"
"benefits of running regularly","Want to know the benefits of running regularly","http://www.sogou.com/link?url=hedJjaC291OQ8Ab-dfgbhSMAOFfRwGBGpSiNyXMHUsriVBv0DEd2FYDxYL46Ewqa3Y4K-rGDA9LLeRQKtSJczK3mlRzfPLR2&query=benefits+of+running+regularly","12","2","8.269"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.healthline.com/health/fitness-exercise/running-everyday","13","11","5.715"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.healthline.com/health/fitness-exercise/essential-runner-stretches","14","15","4.120"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.healthline.com/health/essential-exercises-improve-running-technique","15","9","5.854"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.healthline.com/health/osteoarthritis/knee/alternatives-to-high-impact-exercises","16","8","5.998"
"benefits of running regularly","Want to know the benefits of running regularly","http://www.sogou.com/link?url=hedJjaC291PiPbRcjUvjtcY-kzYlwwFV2TS0iOtOOWStvA3z4Sa_uMEdQU9Hh1psr9iHs4w_3LfSTFvIhgbCwSPJh7ERxrU6LDjLzorIPHU3BTFaG9_ePTG2pMuxOHeI&query=benefits+of+running+regularly","17","19","2.933"
"benefits of running regularly","Want to know the benefits of running regularly","http://www.sogou.com/link?url=hedJjaC291MSCPKPRapRNekzR73aFqUg_oWBB-SujsVZXza8pfSCPWIPw7sUQI8Ee5siZphIbqdb3_t5DZdy6Q..&query=benefits+of+running+regularly","18","4","8.177"
"benefits of running regularly","Want to know the benefits of running regularly","http://www.sogou.com/link?url=hedJjaC291PPxtqDjq0J1TzYkTe-d0Vpe8TT-XMkAOp4xEAJdUwTQa4to0wa_Tif&query=benefits+of+running+regularly","19","7","6.076"
"benefits of running regularly","Want to know the benefits of running regularly","http://www.sogou.com/link?url=hedJjaC291MqwjI7DzidGcTr2nb8JJsFpNUFGWNis-c68RDtmpetn__y1AfbOv-k7ejJ3v6wGco.&query=benefits+of+running+regularly","20","16","3.760"
