query text,query description,url,docID,rank,rankScore
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.easa.europa.eu/eaer/climate-change/aviation-environmental-impacts","1","10","12.366"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://en.wikipedia.org/wiki/Environmental_impact_of_aviation","2","13","12.045"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.easa.europa.eu/eaer/air-quality/aviation-environmental-impacts","3","5","13.367"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.worldatlas.com/articles/what-is-the-environmental-impact-of-aviation.html","4","2","13.803"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","http://publicapps.caa.co.uk/docs/33/CAP1524EnvironmentalInformation29032017.pdf","5","3","13.803"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.researchgate.net/publication/338528472_Environmental_Impact_of_Aviation_Industry","6","18","9.571"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.europarl.europa.eu/RegData/etudes/etudes/join/2001/296693/DG-4-JOIN_ET(2001)296693_EN.pdf","7","17","9.571"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://aviationbenefits.org/environmental-efficiency/climate-action/","8","7","12.821"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","http://onlinepubs.trb.org/onlinepubs/millennium/00036.pdf","9","8","12.821"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.ainonline.com/aviation-news/video/despite-covid-air-transport-cant-dodge-pressure-reduce-its-environmental-impact","10","4","13.413"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.faa.gov/regulations_policies/policy_guidance/envir_policy/media/primer_jan2015.pdf","11","11","12.045"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://en.wikipedia.org/wiki/Environmental_impact_of_aviation","12","12","12.045"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.easa.europa.eu/eaer/climate-change/aviation-environmental-impacts","13","9","12.366"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://aviationbenefits.org/environmental-efficiency/aviations-impact-on-the-environment/","14","1","13.903"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.caa.co.uk/Consumers/Environment/Information-on-the-environmental-impact-of-aviation/","15","6","13.022"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.researchgate.net/publication/338528472_Environmental_Impact_of_Aviation_Industry","16","19","9.571"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://scielo.conicyt.cl/scielo.php?script=sci_arttext&pid=S0718-27242010000200006","17","16","11.507"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.edf.org/climate/aviation","18","14","11.986"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","http://onlinepubs.trb.org/onlinepubs/millennium/00036.pdf","19","15","11.986"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.bbc.com/news/science-environment-49349566","20","20","6.142"
