query text,query description,url,docID,rank,rankScore
"best python books","Find a list of suggested books for learning python","https://www.guru99.com/best-python-books.html","1","16","14.832"
"best python books","Find a list of suggested books for learning python","https://www.electronicshub.org/best-python-books/","2","13","15.512"
"best python books","Find a list of suggested books for learning python","https://www.ubuntupit.com/best-python-books-available-online/","3","8","16.429"
"best python books","Find a list of suggested books for learning python","https://hackr.io/blog/best-python-books-for-beginners-and-advanced-programmers","4","5","16.762"
"best python books","Find a list of suggested books for learning python","https://realpython.com/best-python-books/","5","14","15.176"
"best python books","Find a list of suggested books for learning python","https://geekcourses.in/best-books-for-python-in-2020/","6","9","16.405"
"best python books","Find a list of suggested books for learning python","https://www.techgeekbuzz.com/best-python-books/","7","2","17.923"
"best python books","Find a list of suggested books for learning python","https://data-flair.training/blogs/best-python-book/","8","3","17.384"
"best python books","Find a list of suggested books for learning python","https://pythonbooks.org/","9","1","18.189"
"best python books","Find a list of suggested books for learning python","https://www.amazon.co.uk/Best-Sellers-Kindle-Store-Python-Programming/zgbs/digital-text/10608480031","10","19","14.625"
"best python books","Find a list of suggested books for learning python","https://realpython.com/best-python-books/","11","15","15.176"
"best python books","Find a list of suggested books for learning python","https://hackr.io/blog/best-python-books-for-beginners-and-advanced-programmers","12","6","16.762"
"best python books","Find a list of suggested books for learning python","https://stackabuse.com/the-best-python-books-for-all-skill-levels/","13","10","16.240"
"best python books","Find a list of suggested books for learning python","https://www.guru99.com/best-python-books.html","14","17","14.832"
"best python books","Find a list of suggested books for learning python","https://towardsdatascience.com/python-books-you-must-read-in-2020-a0fc33798bb","15","20","13.786"
"best python books","Find a list of suggested books for learning python","https://medium.com/javarevisited/my-favorite-books-to-learn-python-in-depth-77465633b46e","16","11","16.102"
"best python books","Find a list of suggested books for learning python","https://javinpaul.medium.com/best-python-books-a93d1a0d842d","17","7","16.749"
"best python books","Find a list of suggested books for learning python","https://www.amazon.com/Best-Sellers-Books-Python-Programming/zgbs/books/285856","18","18","14.786"
"best python books","Find a list of suggested books for learning python","https://www.geeksforgeeks.org/best-books-to-learn-python-for-beginners-and-experts-in-2019/","19","4","16.883"
"best python books","Find a list of suggested books for learning python","https://www.softwaretestinghelp.com/best-python-books/","20","12","15.691"
