query text,query description,url,docID,rank,rankScore
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://blog.wego.com/can-i-travel-to-china/","1","7","6.417"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.china-briefing.com/news/chinas-travel-restrictions-due-to-covid-19-an-explainer/","2","12","3.576"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.getyourguide.com/magazine/coronavirus-travel-restrictions/","3","15","0.741"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.kayak.com/travel-restrictions","4","19","0.264"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://thepointsguy.com/guide/reopening-soon-a-country-by-country-guide-to-coronavirus-recovery/","5","17","0.434"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://wwwnc.cdc.gov/travel/destinations/traveler/none/china","6","13","2.701"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.cnn.com/travel/article/coronavirus-us-travel-restrictions-monday/index.html","7","3","8.164"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.china-briefing.com/news/china-again-suspends-entry-of-foreigners-cites-covid-19-risk/","8","5","7.521"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.gov.uk/world/travelling-to-china","9","2","9.191"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.cdc.gov/coronavirus/2019-ncov/travelers/map-and-travel-notices.html","10","10","3.687"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://blog.wego.com/can-i-travel-to-china/","11","6","6.417"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.china-briefing.com/news/chinas-travel-restrictions-due-to-covid-19-an-explainer/","12","11","3.576"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/China.html","13","14","2.072"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.getyourguide.com/magazine/coronavirus-travel-restrictions/","14","16","0.741"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.gov.uk/world/travelling-to-china","15","1","9.191"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.kayak.com/travel-restrictions","16","20","0.264"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.mfa.gov.sg/Countries-Regions/C/China/Travel-Page","17","9","4.126"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.usatoday.com/story/travel/news/2020/09/14/state-department-upgrades-china-do-not-travel-reconsider/5796959002/","18","8","5.230"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://thepointsguy.com/guide/reopening-soon-a-country-by-country-guide-to-coronavirus-recovery/","19","18","0.434"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.china-briefing.com/news/china-again-suspends-entry-of-foreigners-cites-covid-19-risk/","20","4","7.521"
