query text,query description,url,docID,rank,rankScore
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://blog.wego.com/can-i-travel-to-china/","1","1","12.525"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.china-briefing.com/news/chinas-travel-restrictions-due-to-covid-19-an-explainer/","2","9","9.796"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.getyourguide.com/magazine/coronavirus-travel-restrictions/","3","3","11.858"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.kayak.com/travel-restrictions","4","19","6.664"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://thepointsguy.com/guide/reopening-soon-a-country-by-country-guide-to-coronavirus-recovery/","5","6","9.861"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://wwwnc.cdc.gov/travel/destinations/traveler/none/china","6","17","8.373"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.cnn.com/travel/article/coronavirus-us-travel-restrictions-monday/index.html","7","5","9.919"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.china-briefing.com/news/china-again-suspends-entry-of-foreigners-cites-covid-19-risk/","8","12","9.555"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.gov.uk/world/travelling-to-china","9","14","9.537"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.cdc.gov/coronavirus/2019-ncov/travelers/map-and-travel-notices.html","10","20","5.541"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://blog.wego.com/can-i-travel-to-china/","11","2","12.525"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.china-briefing.com/news/chinas-travel-restrictions-due-to-covid-19-an-explainer/","12","10","9.796"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/China.html","13","15","9.346"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.getyourguide.com/magazine/coronavirus-travel-restrictions/","14","4","11.858"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.gov.uk/world/travelling-to-china","15","13","9.537"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.kayak.com/travel-restrictions","16","18","6.664"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.mfa.gov.sg/Countries-Regions/C/China/Travel-Page","17","8","9.804"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.usatoday.com/story/travel/news/2020/09/14/state-department-upgrades-china-do-not-travel-reconsider/5796959002/","18","16","8.747"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://thepointsguy.com/guide/reopening-soon-a-country-by-country-guide-to-coronavirus-recovery/","19","7","9.861"
"when travel to China is allowed","Lecturers and classmates, we will soon meet in China","https://www.china-briefing.com/news/china-again-suspends-entry-of-foreigners-cites-covid-19-risk/","20","11","9.555"
