query text,query description,url,docID,rank,rankScore
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","https://www.csd.cs.cmu.edu/","1","3","22.608"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","https://www.scs.cmu.edu/","2","16","18.929"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","https://www.cs.cmu.edu/overview-programs","3","20","16.024"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","http://cbd.cmu.edu/education/index.html","4","5","22.082"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","https://www.cs.cmu.edu/scs25/history","5","7","21.629"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","https://www.cmu.edu/engineering/materials/graduate/master-of-science-programs/master-of-science-in-computational-materials-science-cmse/index.html","6","17","18.302"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","https://www.facebook.com/CSDatCMU/?__xts__%5B0%5D=68.ARB-CoEWGpeWD31RCteiA57x5YRSN96ATlSFFsUq49kNALmBx4TsoFcQmeHlgnHgrVuF8Fw4AiszQl4ZXrQGDGtc0oeyyAakpmvhCm1PCVU14FdCI144ycZn1x5H7_63KVe4CJb0PMyFoJ3PLhu3vsRlpWBll9W4S6S_H2w3qLeNGOaA49lWmJBrOPXk6_FNEjQhcG0eaRIkr288yBcIfr72-X_W6URjprV40VO4uva7ugfuETLNEGDIrIOP7PzpPF4uzbUiKs1fnGZA2e5SRkMaxK1e-ZgcV2oQVEhxEx8BXKFYMKJsSg","7","11","20.908"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","http://cbd.cmu.edu/education/msas.html","8","2","26.418"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","https://www.cs.cmu.edu/news/cmu-remembers-computer-science-visionary-howard-wactlar","9","13","19.583"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","https://www.facebook.com/CSDatCMU/?__xts__%5B0%5D=68.ARBcbrhDQiB30Cig4BW7NwcO4g1lPR5oboFfnVV43EMf8Q82rluYWibCfEK_7NVP_DQUMYbhnRP9tuBxYX-r0j83jL5NQGGBXVEGR1_QUEVtZpM-N_gVq8pYztJGTdeaGQMYbC3XnY2Hc90KNGuOD7FL9KmLk-fcFE4uOJEDMD24cldnGlHWp4ycqWXMC7LMA8k-11B2cf73xIgcJU9XWKzWhMpla4v-2lfPuJjfp1S1xMfPJq_qdpk-BftZ6DB9SUrIH0GdYKB7bbGX9a45J5DnEWFSgpBqhF8QPBpqaiWk2zqwsLTXoMP5Vq5RW5gVq2VAKai_jddRs6IOs-rXtXu0kg","10","10","20.908"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","https://www.csd.cs.cmu.edu/","11","4","22.608"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","http://www.cs.cmu.edu/","12","15","18.929"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","http://www.sogou.com/link?url=hedJjaC291PfiFp6hcjeoOZZFW7SKp5eHA4BDAzpXNWrS100koT4BIuiLqcWHlaSESVRoD0B2cmLH1geWmJwqknuc0Z3o8qO5-9VztA2g19MNqTewGyLTA..&query=department+of+computer+science+in+CMU","13","19","16.024"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","http://www.sogou.com/link?url=hedJjaC291MzsEl8KNsofLOPX0BvoAZfK5Skh6iENGbmcrJBalQFxM_hqR39iPT7EYJUcF2GtqVMNqTewGyLTA..&query=department+of+computer+science+in+CMU","14","6","22.082"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","http://www.sogou.com/link?url=6YUuC6e6hWZvodkXp76I6kcXFGKC69pyqYNme8GmtCVN7j64M-4dlQ..&query=department+of+computer+science+in+CMU","15","8","21.629"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","http://www.sogou.com/link?url=hedJjaC291Oq225ZYgMGzTQiIBBW-91yq0tdNJKE-AReGrFI2ZJsZHafXdyW0dj0&query=department+of+computer+science+in+CMU","16","18","18.302"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","http://www.sogou.com/link?url=hedJjaC291Oq225ZYgMGzc-CBRFZ3fMwYEDsxTf80nNvTtWn53Og8MNj-Xs1IAYxH_6PT_kXuLaE9PccikhsA2Dm2D_Qh_uvTtHrFWScNbmmUGeX1mCWCw..&query=department+of+computer+science+in+CMU","17","9","20.908"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","http://www.sogou.com/link?url=hedJjaC291P7y88r8SvljmoYKAjtn2drqqSNf2hZGSEvEDOimCkNGpJTQLtQgZgQtwc0zoH6c3E4d2X6F0SQYA..&query=department+of+computer+science+in+CMU","18","1","26.418"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","http://www.sogou.com/link?url=hedJjaC291PYFZXRHmWnI3YF_xtvaV7kf9oBbbKqQ5sf_o9P-Re4ts8-UIwluAW_uXkGCHEuRKk.&query=department+of+computer+science+in+CMU","19","14","19.583"
"department of computer science in CMU","want to know the detailed information about the CS department in CMU","http://www.sogou.com/link?url=hedJjaC291NoOkXvsJjhkKwnlWdAF--A&query=department+of+computer+science+in+CMU","20","12","20.908"
