query text,query description,url,docID,rank,rankScore
"benefits of running regularly","Want to know the benefits of running regularly","https://veganwithkent.com/mental-health-benefits-of-running/#:~:text=12%20Physical%20%26%20Mental%20Health%20Benefits%20of%20Running,Right%20Fuel%20for%20Runners.%20...%204%20Conclusion.%20","1","1","14.386"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.betterhealth.vic.gov.au/health/healthyliving/running-and-jogging-health-benefits","2","18","9.915"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.healthline.com/health/fitness-exercise/running-everyday","3","6","11.910"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.organicfacts.net/running.html","4","4","12.824"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.betterhealth.vic.gov.au/health/healthyliving/running-and-jogging-health-benefits","5","15","9.996"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.openfit.com/benefits-of-running","6","12","10.415"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.healthline.com/health/fitness-exercise/running-everyday","7","8","11.840"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.menshealth.com/health/a26522316/benefits-of-running/","8","10","11.527"
"benefits of running regularly","Want to know the benefits of running regularly","https://veganwithkent.com/mental-health-benefits-of-running/","9","3","14.386"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.betterhealth.vic.gov.au/health/healthyliving/running-and-jogging-health-benefits","10","16","9.996"
"benefits of running regularly","Want to know the benefits of running regularly","http://www.sogou.com/link?url=hedJjaC291NFLWJnp_cefJeVxhuqKXN0Yg_DuxRAjwR7myJmmEhup3nTYklhlxdy&query=benefits+of+running+regularly","11","13","10.415"
"benefits of running regularly","Want to know the benefits of running regularly","http://www.sogou.com/link?url=hedJjaC291OQ8Ab-dfgbhSMAOFfRwGBGpSiNyXMHUsriVBv0DEd2FYDxYL46Ewqa3Y4K-rGDA9LLeRQKtSJczK3mlRzfPLR2&query=benefits+of+running+regularly","12","9","11.527"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.healthline.com/health/fitness-exercise/running-everyday","13","7","11.903"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.healthline.com/health/fitness-exercise/essential-runner-stretches","14","20","4.586"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.healthline.com/health/essential-exercises-improve-running-technique","15","19","6.833"
"benefits of running regularly","Want to know the benefits of running regularly","https://www.healthline.com/health/osteoarthritis/knee/alternatives-to-high-impact-exercises","16","14","10.034"
"benefits of running regularly","Want to know the benefits of running regularly","http://www.sogou.com/link?url=hedJjaC291PiPbRcjUvjtcY-kzYlwwFV2TS0iOtOOWStvA3z4Sa_uMEdQU9Hh1psr9iHs4w_3LfSTFvIhgbCwSPJh7ERxrU6LDjLzorIPHU3BTFaG9_ePTG2pMuxOHeI&query=benefits+of+running+regularly","17","17","9.915"
"benefits of running regularly","Want to know the benefits of running regularly","http://www.sogou.com/link?url=hedJjaC291MSCPKPRapRNekzR73aFqUg_oWBB-SujsVZXza8pfSCPWIPw7sUQI8Ee5siZphIbqdb3_t5DZdy6Q..&query=benefits+of+running+regularly","18","2","14.386"
"benefits of running regularly","Want to know the benefits of running regularly","http://www.sogou.com/link?url=hedJjaC291PPxtqDjq0J1TzYkTe-d0Vpe8TT-XMkAOp4xEAJdUwTQa4to0wa_Tif&query=benefits+of+running+regularly","19","5","12.817"
"benefits of running regularly","Want to know the benefits of running regularly","http://www.sogou.com/link?url=hedJjaC291MqwjI7DzidGcTr2nb8JJsFpNUFGWNis-c68RDtmpetn__y1AfbOv-k7ejJ3v6wGco.&query=benefits+of+running+regularly","20","11","11.162"
