query text,query description,url,docID,rank,rankScore
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.easa.europa.eu/eaer/climate-change/aviation-environmental-impacts","1","11","6.461"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://en.wikipedia.org/wiki/Environmental_impact_of_aviation","2","19","2.608"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.easa.europa.eu/eaer/air-quality/aviation-environmental-impacts","3","9","8.767"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.worldatlas.com/articles/what-is-the-environmental-impact-of-aviation.html","4","2","11.939"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","http://publicapps.caa.co.uk/docs/33/CAP1524EnvironmentalInformation29032017.pdf","5","3","11.939"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.researchgate.net/publication/338528472_Environmental_Impact_of_Aviation_Industry","6","15","3.458"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.europarl.europa.eu/RegData/etudes/etudes/join/2001/296693/DG-4-JOIN_ET(2001)296693_EN.pdf","7","14","3.458"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://aviationbenefits.org/environmental-efficiency/climate-action/","8","5","11.346"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","http://onlinepubs.trb.org/onlinepubs/millennium/00036.pdf","9","6","11.346"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.ainonline.com/aviation-news/video/despite-covid-air-transport-cant-dodge-pressure-reduce-its-environmental-impact","10","1","12.657"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.faa.gov/regulations_policies/policy_guidance/envir_policy/media/primer_jan2015.pdf","11","20","2.608"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://en.wikipedia.org/wiki/Environmental_impact_of_aviation","12","18","2.608"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.easa.europa.eu/eaer/climate-change/aviation-environmental-impacts","13","10","6.461"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://aviationbenefits.org/environmental-efficiency/aviations-impact-on-the-environment/","14","4","11.393"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.caa.co.uk/Consumers/Environment/Information-on-the-environmental-impact-of-aviation/","15","13","6.399"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.researchgate.net/publication/338528472_Environmental_Impact_of_Aviation_Industry","16","16","3.458"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://scielo.conicyt.cl/scielo.php?script=sci_arttext&pid=S0718-27242010000200006","17","17","3.050"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.edf.org/climate/aviation","18","7","10.032"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","http://onlinepubs.trb.org/onlinepubs/millennium/00036.pdf","19","8","10.032"
"aviation ecological impact","Want to know how much CO2 is emitted by air travel and find comparisons with other means of transportation.","https://www.bbc.com/news/science-environment-49349566","20","12","6.430"
