query text,query description,url,docID,rank,rankScore
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.digitalcitizen.life/top-10-best-mouse-cursor-schemes-windows/","1","6","16.919"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.deviantart.com/tag/cursors","2","19","9.389"
"cursor skins windows 10","I want to get a custom cursor on windows 10","http://www.rw-designer.com/cursor-library","3","7","15.243"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://skinpacks.com/category/cursor/","4","3","17.417"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.howtogeek.com/664962/how-to-change-your-mouse-cursor-theme-on-windows-10/","5","9","15.019"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.technorms.com/78462/mouse-cursors","6","12","14.866"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://custom-cursor.com/en/top-downloaded-cursors","7","14","13.860"
"cursor skins windows 10","I want to get a custom cursor on windows 10","http://carlcheo.com/best-mouse-pointer-themes-for-windows","8","17","12.667"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.youtube.com/watch?v=CEzw2g1MBDM","9","1","19.574"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.youtube.com/watch?v=oCdIh_oAfUk","10","20","5.919"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.digitalcitizen.life/top-10-best-mouse-cursor-schemes-windows/","11","5","16.919"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://vsthemes.org/en/cursors/","12","13","14.479"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.howtogeek.com/664962/how-to-change-your-mouse-cursor-theme-on-windows-10/","13","10","15.019"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://gamersdiscussionhub.com/top-35-best-custom-cursor-windows-10-2021/","14","8","15.145"
"cursor skins windows 10","I want to get a custom cursor on windows 10","http://www.rw-designer.com/gallery","15","16","12.760"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.digitalcitizen.life/windows10-custom-mouse-cursors/","16","11","14.981"
"cursor skins windows 10","I want to get a custom cursor on windows 10","http://www.rw-designer.com/tag/win-10","17","4","17.328"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://vsthemes.org/en/cursors/978-numix.html","18","15","13.071"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.techworm.net/2018/03/10-best-windows-themes-skins.html","19","18","10.818"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://skinpacks.com/category/cursor/","20","2","17.417"
