query text,query description,url,docID,rank,rankScore
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.asiaone.com/lifestyle/china-singapore-student-visa-and-approval-guide-during-covid-pandemic","1","13","14.795"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","http://www.chinaembassy.org.sg/eng/lsfw/fhqz/","2","1","20.579"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","http://www.chinaembassy.org.sg/eng/","3","11","15.560"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.mfa.gov.sg/Overseas-Mission/Beijing/Application-for-Students-Pass","4","10","15.874"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","http://www.chinese-embassy.info/asia/visa-sgp.htm","5","9","16.184"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://ivc-services.com/china-visa-application-embassy-singapore/","6","3","19.586"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.ica.gov.sg/reside/STP/apply/pei","7","18","9.316"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.travelchinaguide.com/embassy/singapore.htm","8","4","18.695"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.travelchinaguide.com/embassy/visa/student.htm","9","16","12.096"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.pyramideservices.com/trending/singapore-student-visa/","10","8","16.398"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","http://www.chinaembassy.org.sg/eng/lsfw/fhqz/","11","2","20.579"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.chinadiscovery.com/chinese-visa/how-long-does-it-take-to-get-a-chinese-visa.html","12","14","12.704"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.mastersportal.com/articles/1628/how-to-get-a-student-visa-for-china.html","13","15","12.211"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.ustraveldocs.com/tn/tn-niv-passporttrack.asp","14","17","11.061"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.travelchinaguide.com/embassy/visa/revoke.htm","15","19","9.032"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","http://www.chinaembassy.org.sg/eng/lsfw/fhqz/t1788677.htm","16","7","16.674"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","http://www.chinaembassy.org.sg/eng/","17","12","15.560"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","http://www.chinaembassy.org.sg/eng/lsqw/","18","5","18.007"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","http://www.chinaembassy.org.sg/eng/lsqw/qz/t582778.htm","19","6","17.696"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","http://www.chinaembassy.org.sg/eng/lsfw/fhqz/t1472038.htm","20","20","7.781"
