query text,query description,url,docID,rank,rankScore
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","http://www.sogou.com/link?url=hedJjaC291Pd_uDKKdnY_t8FcuFN7aMlhaSgwSz0-xrnfpoSrDB-0Xm0w0-Lb2JTBfcrI1to0klsROrCjhFH7A..&query=tsinghua+university+natural+language+processing","1","1","32.479"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","http://www.sogou.com/link?url=6IqLFeTuIyjPQqfjtPLmd7WsMKHFky7cPFdoWI8l57slCSPPr97boSUTZhsQadxH4aVLseRW7HW2wKelUak-kA..&query=tsinghua+university+natural+language+processing","2","18","8.246"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","http://www.sogou.com/link?url=hedJjaC291Od888n9ephb7VVZ66C_QV1R5QnTBdb0x6qipjVH1Cjvjh3ZfoXRJBg&query=tsinghua+university+natural+language+processing","3","3","26.981"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","http://www.sogou.com/link?url=hedJjaC291MuovqUW6cN1h9G2mqay0Y_j_YsWg20Euc.&query=tsinghua+university+natural+language+processing","4","14","18.671"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","http://www.sogou.com/link?url=hedJjaC291P5BtScNTePuWIYJ1MHOyonE7WSkDe01sfxYDEXeCiynk3uPrgz7h2V&query=tsinghua+university+natural+language+processing","5","10","21.562"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","http://www.sogou.com/link?url=hedJjaC291MdaWrztdFQnL-u_BiGXV3b&query=tsinghua+university+natural+language+processing","6","15","9.830"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","http://www.sogou.com/link?url=hedJjaC291PV-N9yIkLIqgdylMi6gcLW2AAYqVDjzj206gOLu2n5jr99exlYPP4OreaVHN88tHY.&query=tsinghua+university+natural+language+processing","7","6","22.587"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","http://www.sogou.com/link?url=BluioFHAuoGlKvQVlR0UpCMHT83QN84Pt2XTQJz7xvf0oPXH5FBRMq4to0wa_Tif&query=tsinghua+university+natural+language+processing","8","20","0.000"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","http://www.sogou.com/link?url=hedJjaC291PyQkHn0VTT87VVZ66C_QV1zIiQ3dG88doif0koYmv1Ha3mlRzfPLR2&query=tsinghua+university+natural+language+processing","9","7","21.897"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","http://www.sogou.com/link?url=hedJjaC291OW29Wzh3QM9UQjuBIXabUz4O2Qv9VLmpqi-93w2B3HsgzEGS08gAxS&query=tsinghua+university+natural+language+processing","10","11","19.696"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","https://datascience.shanghai.nyu.edu/tsinghua-university-nlp","11","2","32.479"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","https://ac.cs.tsinghua.edu.cn/curriculum.html","12","17","8.246"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","http://nlp.csai.tsinghua.edu.cn/~lzy/books/rl4nlp_2020.html","13","4","26.981"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","https://nlp.csai.tsinghua.edu.cn/~ly/","14","13","18.671"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","https://nlp.csai.tsinghua.edu.cn/~lzy/","15","9","21.562"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","https://github.com/thunlp/","16","16","9.830"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","https://thucsthanxu13.github.io/","17","5","22.587"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","https://www.facebook.com/Tsinghua/?__xts__%5B0%5D=68.ARCRzmy1l2e3Ept6ovgYKn4Kz239B2VbNWUybgGVYguPRIGEydT9btq59gTgVG_qtfUMHTTc3SkfVXmh1XWACsMV8uE2AGYl_y0lAoTgYafHV7cRBPDiJg21HlmP2TEp0HEzfepZpTHTvWNf_OIY4JXZeZFPEKGDZV3QGY6EbX5cdC0G_nVNfg","18","19","0.000"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","http://neuro.med.tsinghua.edu.cn/?page_id=138","19","8","21.897"
"tsinghua university natural language processing","want to know whether the homepage of my lab can be searched or not","https://www.springer.com/gp/book/9789811555725","20","12","19.696"
