query text,query description,url,docID,rank,rankScore
"best python books","Find a list of suggested books for learning python","https://www.guru99.com/best-python-books.html","1","5","8.143"
"best python books","Find a list of suggested books for learning python","https://www.electronicshub.org/best-python-books/","2","15","5.581"
"best python books","Find a list of suggested books for learning python","https://www.ubuntupit.com/best-python-books-available-online/","3","18","4.789"
"best python books","Find a list of suggested books for learning python","https://hackr.io/blog/best-python-books-for-beginners-and-advanced-programmers","4","16","5.316"
"best python books","Find a list of suggested books for learning python","https://realpython.com/best-python-books/","5","20","2.871"
"best python books","Find a list of suggested books for learning python","https://geekcourses.in/best-books-for-python-in-2020/","6","2","10.932"
"best python books","Find a list of suggested books for learning python","https://www.techgeekbuzz.com/best-python-books/","7","3","9.552"
"best python books","Find a list of suggested books for learning python","https://data-flair.training/blogs/best-python-book/","8","13","6.760"
"best python books","Find a list of suggested books for learning python","https://pythonbooks.org/","9","1","17.644"
"best python books","Find a list of suggested books for learning python","https://www.amazon.co.uk/Best-Sellers-Kindle-Store-Python-Programming/zgbs/digital-text/10608480031","10","7","7.552"
"best python books","Find a list of suggested books for learning python","https://realpython.com/best-python-books/","11","19","2.871"
"best python books","Find a list of suggested books for learning python","https://hackr.io/blog/best-python-books-for-beginners-and-advanced-programmers","12","17","5.316"
"best python books","Find a list of suggested books for learning python","https://stackabuse.com/the-best-python-books-for-all-skill-levels/","13","12","6.990"
"best python books","Find a list of suggested books for learning python","https://www.guru99.com/best-python-books.html","14","6","8.143"
"best python books","Find a list of suggested books for learning python","https://towardsdatascience.com/python-books-you-must-read-in-2020-a0fc33798bb","15","14","5.848"
"best python books","Find a list of suggested books for learning python","https://medium.com/javarevisited/my-favorite-books-to-learn-python-in-depth-77465633b46e","16","10","7.149"
"best python books","Find a list of suggested books for learning python","https://javinpaul.medium.com/best-python-books-a93d1a0d842d","17","4","8.618"
"best python books","Find a list of suggested books for learning python","https://www.amazon.com/Best-Sellers-Books-Python-Programming/zgbs/books/285856","18","9","7.398"
"best python books","Find a list of suggested books for learning python","https://www.geeksforgeeks.org/best-books-to-learn-python-for-beginners-and-experts-in-2019/","19","11","7.070"
"best python books","Find a list of suggested books for learning python","https://www.softwaretestinghelp.com/best-python-books/","20","8","7.541"
