query text,query description,url,docID,rank,rankScore
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.digitalcitizen.life/top-10-best-mouse-cursor-schemes-windows/","1","15","7.391"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.deviantart.com/tag/cursors","2","9","10.795"
"cursor skins windows 10","I want to get a custom cursor on windows 10","http://www.rw-designer.com/cursor-library","3","8","11.223"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://skinpacks.com/category/cursor/","4","7","12.385"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.howtogeek.com/664962/how-to-change-your-mouse-cursor-theme-on-windows-10/","5","10","9.416"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.technorms.com/78462/mouse-cursors","6","20","4.775"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://custom-cursor.com/en/top-downloaded-cursors","7","19","5.003"
"cursor skins windows 10","I want to get a custom cursor on windows 10","http://carlcheo.com/best-mouse-pointer-themes-for-windows","8","12","9.236"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.youtube.com/watch?v=CEzw2g1MBDM","9","2","15.461"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.youtube.com/watch?v=oCdIh_oAfUk","10","18","5.042"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.digitalcitizen.life/top-10-best-mouse-cursor-schemes-windows/","11","16","7.391"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://vsthemes.org/en/cursors/","12","1","15.535"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.howtogeek.com/664962/how-to-change-your-mouse-cursor-theme-on-windows-10/","13","11","9.416"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://gamersdiscussionhub.com/top-35-best-custom-cursor-windows-10-2021/","14","13","8.950"
"cursor skins windows 10","I want to get a custom cursor on windows 10","http://www.rw-designer.com/gallery","15","4","13.694"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.digitalcitizen.life/windows10-custom-mouse-cursors/","16","17","7.295"
"cursor skins windows 10","I want to get a custom cursor on windows 10","http://www.rw-designer.com/tag/win-10","17","3","14.957"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://vsthemes.org/en/cursors/978-numix.html","18","5","12.857"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://www.techworm.net/2018/03/10-best-windows-themes-skins.html","19","14","7.550"
"cursor skins windows 10","I want to get a custom cursor on windows 10","https://skinpacks.com/category/cursor/","20","6","12.385"
