query text,query description,url,docID,rank,rankScore
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.asiaone.com/lifestyle/china-singapore-student-visa-and-approval-guide-during-covid-pandemic","1","7","13.264"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","http://www.chinaembassy.org.sg/eng/lsfw/fhqz/","2","1","21.291"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","http://www.chinaembassy.org.sg/eng/","3","5","14.264"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.mfa.gov.sg/Overseas-Mission/Beijing/Application-for-Students-Pass","4","9","11.364"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","http://www.chinese-embassy.info/asia/visa-sgp.htm","5","14","8.656"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://ivc-services.com/china-visa-application-embassy-singapore/","6","17","6.632"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.ica.gov.sg/reside/STP/apply/pei","7","13","8.724"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.travelchinaguide.com/embassy/singapore.htm","8","10","10.806"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.travelchinaguide.com/embassy/visa/student.htm","9","16","7.404"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.pyramideservices.com/trending/singapore-student-visa/","10","8","12.616"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","http://www.chinaembassy.org.sg/eng/lsfw/fhqz/","11","2","21.291"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.chinadiscovery.com/chinese-visa/how-long-does-it-take-to-get-a-chinese-visa.html","12","20","3.883"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.mastersportal.com/articles/1628/how-to-get-a-student-visa-for-china.html","13","15","8.140"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.ustraveldocs.com/tn/tn-niv-passporttrack.asp","14","12","9.496"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","https://www.travelchinaguide.com/embassy/visa/revoke.htm","15","18","6.031"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","http://www.chinaembassy.org.sg/eng/lsfw/fhqz/t1788677.htm","16","11","10.344"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","http://www.chinaembassy.org.sg/eng/","17","6","14.264"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","http://www.chinaembassy.org.sg/eng/lsqw/","18","4","18.137"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","http://www.chinaembassy.org.sg/eng/lsqw/qz/t582778.htm","19","3","19.986"
"singapore chinese embassy visa approval students","Want to know the current guidelines and status of getting a visa for Singaporean students studying in China","http://www.chinaembassy.org.sg/eng/lsfw/fhqz/t1472038.htm","20","19","3.904"
